date,open,hig,low ,close,volume ,change
11-Jun-24,"23,583.25","23,591.02","23,087.29","23,136.87","45,696,010",-263.64
10-Jun-24,"23,653.62","23,677.00","23,329.48","23,400.51","37,773,899",-216.17
07-Jun-24,"23,651.13","23,678.83","22,913.24","23,616.68","97,472,710",-74.58
06-Jun-24,"23,800.46","23,942.59","23,645.42","23,691.26","42,820,846",-88.08
05-Jun-24,"23,913.10","23,949.20","23,743.92","23,779.34","50,885,888",-139.38
04-Jun-24,"24,246.31","24,252.16","23,886.30","23,918.72","60,260,856",-292.88
03-Jun-24,"24,413.37","24,456.77","24,198.37","24,211.60","58,372,968",-131.46
31-May-24,"24,053.07","24,384.18","24,021.86","24,343.06","59,702,334",355.19
30-May-24,"24,066.99","24,160.02","23,934.70","23,987.87","51,399,276",-16.54
29-May-24,"24,290.33","24,322.51","23,977.43","24,004.41","63,215,250",-273.32
27-May-24,"24,482.12","24,509.15","24,268.55","24,277.73","52,979,635",-167.08
24-May-24,"24,167.18","24,512.20","24,164.97","24,444.81","84,048,860",330.84
23-May-24,"24,095.84","24,216.59","23,988.08","24,113.97","59,252,905",30.78
22-May-24,"24,143.39","24,255.68","24,043.39","24,083.19","59,368,372",-59.53
21-May-24,"24,114.24","24,215.51","24,020.37","24,142.72","44,312,280",49.05
20-May-24,"24,242.10","24,295.91","24,017.26","24,093.67","58,583,728",-120.61
17-May-24,"24,164.94","24,250.19","24,115.00","24,214.28","83,749,804",68.6
16-May-24,"24,095.13","24,192.20","24,005.20","24,145.68","62,482,039",74.18
15-May-24,"24,027.63","24,177.18","23,949.86","24,071.50","122,206,451",117.08
14-May-24,"23,682.62","23,978.66","23,682.61","23,954.42","120,544,645",330.74
13-May-24,"23,489.62","23,727.29","23,438.45","23,623.68","116,013,780",196.5
10-May-24,"23,446.86","23,614.76","23,414.91","23,427.18","116,224,476",44.51
09-May-24,"23,493.72","23,514.01","23,328.78","23,382.67","89,537,110",-155.85
08-May-24,"23,621.10","23,658.39","23,450.82","23,538.52","84,819,295",-86.61
07-May-24,"23,771.65","23,817.71","23,601.16","23,625.13","91,454,277",-150.31
06-May-24,"23,760.44","23,906.01","23,737.64","23,775.44","112,993,151",180.59
03-May-24,"23,178.45","23,628.97","23,138.85","23,594.85","122,597,317",360.77
02-May-24,"23,389.16","23,455.24","23,212.77","23,234.08","79,055,719",-160.57
30-Apr-24,"23,573.73","23,730.85","23,378.10","23,394.65","106,961,771",-147.35
29-Apr-24,"24,034.92","24,117.04","23,494.83","23,542.00","96,993,036",-491.86
26-Apr-24,"23,805.51","24,069.71","23,676.58","24,033.86","79,477,965",284.82
25-Apr-24,"23,788.58","23,911.80","23,630.37","23,749.04","100,542,622",-58.77
24-Apr-24,"23,596.69","23,944.84","23,586.58","23,807.81","111,127,951",241.46
23-Apr-24,"23,566.36","23,685.35","23,534.69","23,566.86","105,787,553",-240.95
22-Apr-24,"23,424.02","23,719.44","23,371.89","23,566.35","174,785,169",189.79
19-Apr-24,"23,155.87","23,393.37","23,058.96","23,376.56","116,554,680",282.75
18-Apr-24,"23,191.02","23,225.11","22,904.88","23,093.81","98,879,997",-26.77
17-Apr-24,"23,168.85","23,289.38","23,045.95","23,120.58","97,185,895",-81.97
16-Apr-24,"23,225.88","23,398.51","23,173.55","23,202.55","100,335,756",11.47
15-Apr-24,"23,114.40","23,230.12","22,995.04","23,191.08","101,833,780",58.79
09-Apr-24,"22,997.51","23,333.56","22,997.50","23,132.29","79,316,703",221.49
08-Apr-24,"22,506.70","22,946.23","22,506.69","22,910.80","71,670,907",472.36
04-Apr-24,"22,422.75","22,466.27","22,299.29","22,438.44","96,167,251",187.02
03-Apr-24,"21,967.69","22,293.69","21,962.50","22,251.42","50,083,449",283.7
02-Apr-24,"21,969.49","22,005.43","21,902.56","21,967.72","22,557,970",-5.03
01-Apr-24,"22,082.45","22,136.47","21,944.42","21,972.75","22,129,113",-48.71
29-Mar-24,"22,116.13","22,130.09","21,998.53","22,021.46","43,971,276",-68.53
28-Mar-24,"21,946.92","22,139.85","21,946.91","22,089.99","84,206,752",175.13
27-Mar-24,"21,731.58","21,943.28","21,731.57","21,914.86","57,273,673",207.02
26-Mar-24,"21,605.99","21,737.08","21,564.80","21,707.84","56,139,130",128.84
25-Mar-24,"21,544.70","21,637.12","21,487.10","21,579.00","52,398,260",130.97
22-Mar-24,"21,549.01","21,559.96","21,409.23","21,448.03","26,838,783",-86.52
21-Mar-24,"21,711.07","21,771.85","21,499.80","21,534.55","54,300,245",-197.12
20-Mar-24,"21,778.60","21,846.64","21,708.71","21,731.67","45,245,594",10.75
19-Mar-24,"21,557.85","21,776.81","21,557.76","21,720.92","71,695,522",185.08
18-Mar-24,"21,577.29","21,652.70","21,496.25","21,535.84","27,612,058",-21.02
15-Mar-24,"21,739.77","21,763.23","21,527.85","21,556.86","38,997,883",-155.4
14-Mar-24,"21,412.74","21,760.48","21,412.73","21,712.26","32,085,186",248.29
13-Mar-24,"21,711.89","21,773.00","21,398.31","21,463.97","33,548,603",-283.8
12-Mar-24,"22,023.16","22,062.51","21,706.81","21,747.77","35,402,542",-264.16
11-Mar-24,"22,055.36","22,079.34","21,974.54","22,011.93","37,291,184",3.62
08-Mar-24,"22,095.99","22,162.58","21,990.67","22,008.31","48,616,600",-105.08
07-Mar-24,"22,139.39","22,236.17","21,966.60","22,113.39","49,938,207",-112.97
06-Mar-24,"22,287.65","22,410.82","22,206.96","22,226.36","59,594,193",-58.67
05-Mar-24,"22,460.37","22,461.25","22,208.66","22,285.03","65,999,227",-132.18
04-Mar-24,"22,269.52","22,443.78","22,248.19","22,417.21","89,232,369",271.55
01-Mar-24,"21,968.29","22,202.51","21,876.22","22,145.66","53,204,721",256.58
29-Feb-24,"21,553.60","21,968.35","21,553.59","21,889.08","87,506,039",381.15
28-Feb-24,"21,277.42","21,563.19","21,230.20","21,507.93","82,951,227",202.12
27-Feb-24,"21,349.75","21,410.05","21,205.27","21,305.81","70,376,735",9.59
26-Feb-24,"21,150.07","21,460.86","21,150.06","21,296.22","72,439,149",162.72
23-Feb-24,"20,800.15","21,182.40","20,765.59","21,133.50","72,187,385",282.73
22-Feb-24,"20,723.01","20,867.04","20,621.30","20,850.77","55,515,603",132.3
21-Feb-24,"20,560.54","20,737.87","20,489.08","20,718.47","52,315,941",420.88
20-Feb-24,"20,391.94","20,599.56","20,271.19","20,297.59","46,955,484",-49.26
19-Feb-24,"19,910.78","20,364.80","19,843.45","20,346.85","52,624,265",247.54
16-Feb-24,"20,385.19","20,567.03","20,034.23","20,099.31","73,090,997",-382.1
15-Feb-24,"21,007.15","21,007.15","20,442.50","20,481.41","61,397,050",-473.29
14-Feb-24,"20,847.26","21,092.31","20,795.39","20,954.70","88,960,078",269.59
13-Feb-24,"20,398.57","20,849.20","20,064.13","20,685.11","91,904,447",47.58
12-Feb-24,"21,063.12","21,140.57","20,464.56","20,637.53","67,411,755",-650.72
09-Feb-24,"21,352.45","21,429.34","20,763.26","21,288.25","79,284,776",-423.35
07-Feb-24,"21,663.30","21,734.27","21,632.46","21,711.60","74,165,378",111.43
06-Feb-24,"21,406.91","21,666.96","21,399.73","21,600.17","82,199,536",272.3
02-Feb-24,"21,167.24","21,347.60","21,099.88","21,327.87","53,730,993",178.31
01-Feb-24,"20,988.36","21,181.23","20,880.00","21,149.56","64,210,142",195.24
31-Jan-24,"20,979.15","21,178.30","20,922.99","20,954.32","48,326,317",80.94
30-Jan-24,"21,157.13","21,306.49","20,763.24","20,873.38","84,586,780",-272.43
29-Jan-24,"21,520.74","21,520.74","21,111.49","21,145.81","53,595,457",-388.35
26-Jan-24,"21,670.91","21,797.53","21,501.86","21,534.16","89,291,024",-164.62
25-Jan-24,"21,934.14","22,062.60","21,661.68","21,698.78","148,555,923",-208.02
24-Jan-24,"21,802.41","22,014.47","21,763.24","21,906.80","129,093,944",154.6
23-Jan-24,"21,671.65","21,843.27","21,430.96","21,752.20","143,656,598",150.95
22-Jan-24,"21,296.43","21,661.94","21,239.96","21,601.25","64,982,149",326.05
19-Jan-24,"21,292.56","21,504.19","21,248.80","21,275.20","31,608,895",34.78
18-Jan-24,"21,363.16","21,371.12","20,998.19","21,240.42","61,040,356",-113.82
17-Jan-24,"21,337.07","21,500.97","21,218.05","21,354.24","85,604,288",-1.67
16-Jan-24,"21,541.00","21,541.00","21,230.44","21,355.91","53,829,388",-192.5
15-Jan-24,"21,736.96","21,850.61","21,498.74","21,548.41","72,992,219",-82.44
12-Jan-24,"21,698.68","21,857.33","21,570.14","21,630.85","89,223,892",51.33
11-Jan-24,"21,395.93","21,628.10","21,337.54","21,579.52","71,310,778",238.65
11-Jan-24,"21,395.93","21,628.10","21,337.54","21,579.52","71,310,778",0
10-Jan-24,"21,482.81","21,587.72","21,315.62","21,340.87","64,762,071",-114.84
09-Jan-24,"21,580.34","21,662.26","21,361.67","21,455.71","41,394,105",-16.92
08-Jan-24,"21,617.31","21,762.11","21,451.44","21,472.63","42,676,913",-72.4
07-Jan-24,"25,325.85","25,613.04","25,279.61","25,369.27","56,298,945",87.24
05-Jan-24,"21,678.21","21,766.01","21,270.49","21,545.03","63,879,635",-92.39
04-Jan-24,"21,711.50","21,747.66","21,452.82","21,637.42","55,186,251",3.02
03-Jan-24,"21,620.25","21,837.26","21,494.28","21,634.40","99,580,851",67.47
02-Jan-24,"21,794.31","21,890.47","21,512.40","21,566.93","165,192,768",-49.2
01-Jan-24,"20,863.02","21,641.04","20,849.00","21,616.13","87,684,800",839.59
29-Dec-23,"20,752.90","20,877.91","20,604.45","20,776.54","84,360,372",99.33
28-Dec-23,"20,385.87","20,967.63","20,363.73","20,677.21","101,021,804",398.5
27-Dec-23,"19,719.64","20,336.10","19,563.59","20,278.71","76,863,468",553.82
26-Dec-23,"20,526.86","20,538.63","19,665.06","19,724.89","94,892,164",-836.93
22-Dec-23,"20,982.73","21,026.68","20,510.19","20,561.82","40,075,283",-377.2
21-Dec-23,"21,018.17","21,030.77","20,623.66","20,939.02","60,889,101",45.26
20-Dec-23,"21,027.03","21,176.48","20,410.41","20,893.76","124,436,351",-108.47
19-Dec-23,"21,672.75","21,682.34","20,846.05","21,002.23","120,444,508",-708.52
18-Dec-23,"22,155.19","22,179.95","21,658.51","21,710.75","68,356,359",-333.09
15-Dec-23,"21,989.05","22,132.53","21,853.31","22,043.84","113,408,422",176.32
14-Dec-23,"21,802.77","21,928.89","21,483.35","21,867.52","97,483,606",78.08
13-Dec-23,"22,273.79","22,415.09","21,458.44","21,789.44","173,834,331",-365.28
12-Dec-23,"22,094.95","22,233.51","22,094.30","22,154.72","113,988,545",106.66
11-Dec-23,"22,072.74","22,252.88","21,698.05","22,048.06","153,715,751",-75.08
08-Dec-23,"21,716.68","22,158.45","21,715.10","22,123.14","167,288,578",529.04
07-Dec-23,"21,431.38","21,684.75","21,273.47","21,594.10","159,698,735",242.36
06-Dec-23,"21,098.67","21,395.78","21,091.31","21,351.74","182,471,762",348.08
05-Dec-23,"20,887.01","21,039.81","20,725.32","21,003.66","173,714,479",174.8
04-Dec-23,"20,684.28","21,007.82","20,684.28","20,828.86","191,948,522",274.29
01-Dec-23,"20,246.67","20,597.23","20,215.51","20,554.57","144,483,981",366.13
30-Nov-23,"20,290.08","20,390.65","20,160.82","20,188.44","101,827,601",13.01
29-Nov-23,"20,310.48","20,543.89","20,073.35","20,175.43","126,695,016",-64.2
28-Nov-23,"19,925.22","20,281.83","19,925.21","20,239.63","131,444,430",379.09
27-Nov-23,"19,717.40","19,923.46","19,565.85","19,860.54","114,472,336",223.29
24-Nov-23,"19,620.55","19,770.90","19,595.99","19,637.25","106,260,188",74.44
23-Nov-23,"19,378.43","19,608.64","19,376.61","19,562.81","125,671,571",187.93
22-Nov-23,"19,061.68","19,453.58","19,061.67","19,374.88","106,553,803",328.34
21-Nov-23,"19,006.48","19,162.90","19,006.48","19,046.54","81,749,369",68.14
20-Nov-23,"19,058.66","19,078.87","18,901.28","18,978.40","76,888,265",-68.43
17-Nov-23,"19,257.74","19,329.42","19,013.93","19,046.83","119,824,068",-172.45
16-Nov-23,"19,048.46","19,298.41","18,927.73","19,219.28","162,520,812",218.51
15-Nov-23,"19,073.51","19,098.00","18,909.01","19,000.77","149,010,632",-27.9
14-Nov-23,"19,049.55","19,101.07","18,847.64","19,028.67","121,913,712",40.52
13-Nov-23,"18,666.50","19,006.97","18,666.49","18,988.15","129,600,723",421.79
10-Nov-23,"18,211.94","18,625.32","18,211.94","18,566.36","137,754,698",384.26
08-Nov-23,"17,980.74","18,244.70","17,980.73","18,182.10","117,071,158",192.02
07-Nov-23,"18,036.17","18,174.64","17,971.77","17,990.08","107,661,068",-7.69
06-Nov-23,"17,861.62","18,030.53","17,795.02","17,997.77","79,770,475",193.87
03-Nov-23,"17,777.97","17,861.70","17,694.83","17,803.90","75,404,098",-111.06
02-Nov-23,"17,844.67","17,937.09","17,772.02","17,914.96","85,000,962",10.98
01-Nov-23,"17,838.80","17,951.13","17,838.79","17,903.98","85,881,558",121.87
31-Oct-23,"17,713.40","17,865.36","17,647.07","17,782.11","91,338,634",131.95
30-Oct-23,"17,476.31","17,661.20","17,472.62","17,650.16","73,438,414",152.79
27-Oct-23,"17,561.34","17,497.37","17,446.21","17,497.37","77,649,791",-55.98
26-Oct-23,"17,606.66","17,662.70","17,537.42","17,553.35","64,983,130",16.26
25-Oct-23,"17,494.99","17,675.12","17,480.65","17,537.09","120,496,673",40.59
24-Oct-23,"17,566.14","17,566.14","17,343.29","17,496.50","61,297,406",-100.63
23-Oct-23,"17,529.92","17,735.14","17,529.92","17,597.13","107,359,127",138.13
20-Oct-23,"17,310.63","17,520.12","17,274.84","17,459.00","92,745,904",172.95
19-Oct-23,"16,931.91","17,304.38","16,904.89","17,286.05","115,344,391",375.82
18-Oct-23,"16,928.79","17,011.16","16,883.91","16,910.23","50,743,385",-47.87
17-Oct-23,"17,084.47","17,149.56","16,943.56","16,958.10","78,665,951",-167.73
16-Oct-23,"17,163.24","17,257.46","16,992.18","17,125.83","82,247,818",-5.67
13-Oct-23,"16,923.75","17,138.43","16,886.64","17,131.50","99,132,644",225.25
12-Oct-23,"16,817.41","16,931.92","16,767.68","16,906.25","72,919,115",114.29
11-Oct-23,"16,670.08","16,808.53","16,667.40","16,791.96","64,757,996",142.38
10-Oct-23,"16,515.52","16,666.60","16,503.42","16,649.58","55,723,978",146.06
09-Oct-23,"16,336.18","16,514.11","16,260.76","16,503.52","38,472,992",129.65
06-Oct-23,"16,397.48","16,424.74","16,338.50","16,373.87","55,653,040",-73.71
05-Oct-23,"16,375.32","16,473.57","16,375.32","16,447.58","80,082,510",102.85
04-Oct-23,"16,198.69","16,392.78","16,195.18","16,344.73","48,561,062",143.07
03-Oct-23,"16,176.90","16,226.60","16,154.52","16,201.66","37,772,858",52.34
02-Oct-23,"16,017.65","16,185.38","16,017.64","16,149.32","53,699,478",160.11
28-Sep-23,"16,088.92","16,090.67","15,969.47","15,989.21","47,273,367",-183.18
27-Sep-23,"16,155.38","16,216.46","16,124.49","16,172.39","55,847,590",20.68
26-Sep-23,"16,213.90","16,242.59","16,144.23","16,151.71","32,756,141",-66.9
25-Sep-23,"16,280.44","16,302.22","16,191.34","16,218.61","31,703,997",-41.61
22-Sep-23,"16,256.51","16,301.20","16,176.94","16,260.22","44,770,565",52.77
21-Sep-23,"16,093.16","16,245.97","16,024.12","16,207.45","46,768,106",120.48
20-Sep-23,"16,153.76","16,176.82","16,064.66","16,086.97","23,796,936",-51.59
19-Sep-23,"16,131.56","16,205.98","16,127.16","16,138.56","28,021,939",26.33
18-Sep-23,"16,109.38","16,152.12","16,063.78","16,112.23","25,623,661",20.46
15-Sep-23,"16,204.05","16,239.27","16,073.20","16,091.77","111,668,552",24.37
14-Sep-23,"16,057.89","16,126.03","16,040.62","16,067.40","18,360,788",-12.71
13-Sep-23,"16,059.29","16,139.97","16,056.69","16,080.11","26,704,033",17.16
12-Sep-23,"16,197.09","16,197.09","16,044.61","16,062.95","46,117,099",-120.02
11-Sep-23,"16,274.32","16,312.30","16,129.18","16,182.97","51,583,020",-62.72
08-Sep-23,"16,193.27","16,275.74","16,155.67","16,245.69","51,612,583",83.95
07-Sep-23,"16,224.71","16,305.35","16,142.03","16,161.74","69,424,370",-42.59
06-Sep-23,"16,115.32","16,225.33","16,071.37","16,204.33","42,832,268",100.28
05-Sep-23,"16,254.98","16,297.78","16,066.91","16,104.05","30,166,706",-148.41
04-Sep-23,"16,166.59","16,286.74","16,146.86","16,252.46","36,101,301",164.73
01-Sep-23,"15,969.56","16,106.68","15,885.35","16,087.73","35,738,951",117.81
31-Aug-23,"16,438.17","16,480.06","15,734.77","15,969.92","114,566,990",-450.83
30-Aug-23,"16,610.28","16,660.11","16,361.71","16,420.75","62,792,908",-199.93
29-Aug-23,"16,797.40","16,825.31","16,537.98","16,620.68","63,418,607",-256.59
28-Aug-23,"16,965.47","16,973.86","16,855.36","16,877.27","42,629,186",-93.54
25-Aug-23,"17,001.48","17,014.35","16,926.57","16,970.81","47,710,763",-35.57
24-Aug-23,"16,900.06","17,095.13","16,900.06","17,006.38","83,600,775",152.69
23-Aug-23,"16,838.94","16,899.07","16,668.57","16,853.69","73,246,672",52.26
22-Aug-23,"16,798.06","16,901.60","16,751.73","16,801.43","48,215,992",-26.13
21-Aug-23,"17,091.74","17,123.71","16,811.14","16,827.56","46,516,913",-302.71
18-Aug-23,"17,215.42","17,304.29","17,119.23","17,130.27","91,434,337",-58.39
17-Aug-23,"17,043.86","17,208.41","17,006.02","17,188.66","66,091,983",63.68
16-Aug-23,"17,283.76","17,293.30","17,108.63","17,124.98","50,565,706",-155.31
15-Aug-23,"17,266.32","17,350.29","17,161.91","17,280.29","66,935,063",77.71
